Amount,Category,Reason,Mood,Date,User ID
700487,Sekunder,Kewajiban,Buruk,2024-01-01,12
146739,Primer,Gaya Hidup,Senang,2024-01-02,3
56225,Primer,Luxury,Tidak Baik,2024-01-03,14
807572,Primer,Sial,Senang,2024-01-04,9
318389,Sekunder,Sial,Senang,2024-01-05,3
286787,Primer,Sial,Baik,2024-01-06,3
264053,Tidak Terduga,Kewajiban,Senang,2024-01-07,19
176316,Tersier,Kewajiban,Baik,2024-01-08,11
802246,Tidak Terduga,Teratur,Senang,2024-01-09,11
137473,Sekunder,Sial,Baik,2024-01-10,14
739570,Sekunder,Gaya Hidup,Tidak Baik,2024-01-11,9
806646,Primer,Sial,Senang,2024-01-12,1
965518,Tidak Terduga,Terencana,Baik,2024-01-13,19
601858,Sekunder,Gaya Hidup,Baik,2024-01-14,3
121161,Tersier,Gaya Hidup,Senang,2024-01-15,19
649176,Sekunder,Esensial,Senang,2024-01-16,13
472417,Tidak Terduga,Kewajiban,Senang,2024-01-17,19
63326,Tersier,Gaya Hidup,Senang,2024-01-18,7
61244,Tersier,Terencana,Tidak Baik,2024-01-19,19
128246,Primer,Kewajiban,Senang,2024-01-20,11
259258,Tersier,Irasional,Baik,2024-01-21,15
273962,Primer,Gaya Hidup,Buruk,2024-01-22,18
559903,Primer,Kewajiban,Tidak Baik,2024-01-23,16
661262,Sekunder,Esensial,Senang,2024-01-24,12
57824,Sekunder,Terencana,Senang,2024-01-25,6
618508,Primer,Gaya Hidup,Senang,2024-01-26,2
238496,Tidak Terduga,Sial,Baik,2024-01-27,16
780800,Primer,Luxury,Baik,2024-01-28,1
711453,Tidak Terduga,Gaya Hidup,Senang,2024-01-29,5
765392,Tersier,Teratur,Baik,2024-01-30,1
601412,Tersier,Esensial,Senang,2024-01-31,9
469898,Tersier,Teratur,Senang,2024-02-01,6
261148,Primer,Sial,Senang,2024-02-02,14
501029,Tidak Terduga,Esensial,Buruk,2024-02-03,6
647889,Primer,Kewajiban,Baik,2024-02-04,1
321704,Tersier,Irasional,Baik,2024-02-05,3
878749,Sekunder,Terencana,Senang,2024-02-06,20
941527,Tersier,Sial,Senang,2024-02-07,16
36814,Tersier,Esensial,Buruk,2024-02-08,4
825667,Sekunder,Esensial,Tidak Baik,2024-02-09,5
874962,Tidak Terduga,Esensial,Baik,2024-02-10,3
197414,Tersier,Irasional,Buruk,2024-02-11,5
762052,Tidak Terduga,Teratur,Baik,2024-02-12,10
473143,Sekunder,Teratur,Buruk,2024-02-13,3
386778,Sekunder,Luxury,Baik,2024-02-14,7
321369,Sekunder,Teratur,Buruk,2024-02-15,19
193032,Primer,Teratur,Tidak Baik,2024-02-16,8
255772,Tidak Terduga,Kewajiban,Senang,2024-02-17,14
830581,Primer,Esensial,Buruk,2024-02-18,20
382944,Sekunder,Irasional,Baik,2024-02-19,13
137175,Tersier,Esensial,Senang,2024-02-20,15
127251,Primer,Esensial,Senang,2024-02-21,18
428382,Tersier,Luxury,Baik,2024-02-22,19
131414,Primer,Teratur,Baik,2024-02-23,15
406417,Tidak Terduga,Kewajiban,Tidak Baik,2024-02-24,13
918662,Tersier,Teratur,Baik,2024-02-25,2
390663,Primer,Kewajiban,Baik,2024-02-26,19
663052,Sekunder,Gaya Hidup,Senang,2024-02-27,17
307370,Sekunder,Gaya Hidup,Senang,2024-02-28,16
876335,Tidak Terduga,Esensial,Baik,2024-02-29,7
75561,Tidak Terduga,Irasional,Baik,2024-03-01,3
795179,Primer,Kewajiban,Tidak Baik,2024-03-02,6
511741,Sekunder,Luxury,Baik,2024-03-03,14
592275,Tersier,Luxury,Baik,2024-03-04,16
160889,Primer,Teratur,Buruk,2024-03-05,16
997096,Primer,Teratur,Tidak Baik,2024-03-06,8
426922,Sekunder,Irasional,Buruk,2024-03-07,3
112627,Tidak Terduga,Irasional,Tidak Baik,2024-03-08,20
608856,Tersier,Kewajiban,Baik,2024-03-09,6
337419,Tidak Terduga,Teratur,Buruk,2024-03-10,5
899693,Primer,Teratur,Tidak Baik,2024-03-11,15
689176,Primer,Kewajiban,Tidak Baik,2024-03-12,13
678564,Sekunder,Luxury,Baik,2024-03-13,1
958463,Tidak Terduga,Luxury,Senang,2024-03-14,15
933565,Primer,Gaya Hidup,Tidak Baik,2024-03-15,11
409201,Primer,Esensial,Tidak Baik,2024-03-16,19
635397,Tidak Terduga,Irasional,Baik,2024-03-17,17
231629,Sekunder,Luxury,Senang,2024-03-18,18
768797,Sekunder,Esensial,Senang,2024-03-19,20
102933,Tersier,Irasional,Senang,2024-03-20,16
78050,Tersier,Teratur,Buruk,2024-03-21,18
723384,Tersier,Sial,Tidak Baik,2024-03-22,14
268968,Tidak Terduga,Teratur,Senang,2024-03-23,12
840620,Tersier,Kewajiban,Buruk,2024-03-24,8
333445,Tersier,Terencana,Senang,2024-03-25,7
113667,Tidak Terduga,Luxury,Buruk,2024-03-26,19
926865,Tersier,Esensial,Senang,2024-03-27,10
274098,Sekunder,Kewajiban,Senang,2024-03-28,7
938573,Primer,Teratur,Tidak Baik,2024-03-29,4
135907,Sekunder,Irasional,Tidak Baik,2024-03-30,20
428591,Sekunder,Terencana,Senang,2024-03-31,3
321476,Primer,Sial,Tidak Baik,2024-04-01,13
505435,Sekunder,Kewajiban,Tidak Baik,2024-04-02,11
696563,Primer,Gaya Hidup,Buruk,2024-04-03,10
904628,Sekunder,Terencana,Tidak Baik,2024-04-04,7
412554,Tidak Terduga,Kewajiban,Buruk,2024-04-05,1
200555,Tidak Terduga,Luxury,Tidak Baik,2024-04-06,17
